term,package,function_name,description,url
-,base,-,subtraction,https://rdrr.io/r/base/Arithmetic.html
:,base,:,sequence of integers,https://rdrr.io/r/base/Colon.html
::,base,::,export variable from package for use,https://rdrr.io/r/base/ns-dblcolon.html
!,base,!,logical NOT,https://rdrr.io/r/base/Logic.html
!=,base,!=,not equal to,https://rdrr.io/r/base/Comparison.html
[],base,[],subset elements of vector,NA
*,base,*,multiplication,https://rdrr.io/r/base/Arithmetic.html
/,base,/,division,https://rdrr.io/r/base/Arithmetic.html
&,base,&,logical AND,https://rdrr.io/r/base/Logic.html
%*%,base,%*%,multiply matrix with its transpose,https://rdrr.io/r/base/matmult.html
%/%,base,%/%,quotient,https://rdrr.io/r/base/Arithmetic.html
%%,base,%%,remainder,https://rdrr.io/r/base/Arithmetic.html
%<>%,magrittr,%<>%,assignment pipe,https://magrittr.tidyverse.org/reference/compound.html
%>%,magrittr,%>%,pipe operator,https://magrittr.tidyverse.org/reference/pipe.html
%$%,magrittr,%$%,exposition pipe,https://magrittr.tidyverse.org/reference/exposition.html
%in%,base,%in%,identify if element is in vector,https://rdrr.io/r/base/match.html
%T>%,magrittr,%T>%,tee pipe,https://magrittr.tidyverse.org/reference/tee.html
^,base,^,exponent,https://rdrr.io/r/base/Arithmetic.html
+,base,+,addition,https://rdrr.io/r/base/Arithmetic.html
<,base,<,less than,https://rdrr.io/r/base/Comparison.html
<-,base,<-,assignment operator,https://rdrr.io/r/base/assignOps.html
<<-,base,<<-,assignment operator (in functions for global environment),https://rdrr.io/r/base/assignOps.html
<=,base,<=,less than or equal to,https://rdrr.io/r/base/Comparison.html
=,base,=,assignment operator,https://rdrr.io/r/base/assignOps.html
==,base,==,equal to,https://rdrr.io/r/base/Comparison.html
>,base,>,greater than,https://rdrr.io/r/base/Comparison.html
>=,base,>=,greater than or equal to,https://rdrr.io/r/base/Comparison.html
|,base,|,logical OR,https://rdrr.io/r/base/Logic.html
|>,base,|>,pipe operator (base R),https://rdrr.io/r/base/pipeOp.html
accumulate(),purrr,purrr::accumulate(),accumulate intermediate result of vector reduction,https://purrr.tidyverse.org/reference/accumulate.html
add_predictions(),modelr,modelr::add_predictions(),add predictions to a data frame,https://modelr.tidyverse.org/reference/add_predictions.html
add_residuals(),modelr,modelr::add_residuals(),add residuals to a data frame,https://modelr.tidyverse.org/reference/add_residuals.html
aes(),ggplot2,ggplot2::aes(),create aesthetic mappings between data and plot,https://ggplot2.tidyverse.org/reference/aes.html
annotate(),ggplot2,ggplot2::annotate(),annotate plot independent of data,https://ggplot2.tidyverse.org/reference/annotate.html
anti_join(),dplyr,dplyr::anti_join(),join two data sets dropping all observations in x that have a match in y,https://dplyr.tidyverse.org/reference/filter-joins.html
any_of(),tidyselect,tidyselect::any_of(),check if any any elements are found in vector,https://tidyselect.r-lib.org/reference/all_of.html
apply(),base,base::apply(),apply a function to multiple elements of an object in base R,https://rdrr.io/r/base/apply.html
apropros(),utils,utils::apropros(),returns a character vector giving the names of objects in the search list matching (as a regular expression),https://rdrr.io/r/utils/apropos.html
arrange(),dplyr,dplyr::arrange(),change order of rows based on values of columns,https://dplyr.tidyverse.org/reference/arrange.html
arrow(),grid,grid::arrow(),plot arrows,https://rdrr.io/r/grid/arrow.html
as_date(),lubridate,lubridate::as_date(),convert object to date,https://lubridate.tidyverse.org/reference/as_date.html
as_datetime(),lubridate,lubridate::as_datetime(),convert object to date-time,https://lubridate.tidyverse.org/reference/as_date.html
as_tibble(),tibble,tibble::as_tibble(),coerce object into tibble,https://tibble.tidyverse.org/reference/as_tibble.html
as.character(),base,base::as.character(),coerce object to character,https://rdrr.io/r/base/character.html
as.data.frame(),base,base::as.data.frame(),coerce object into data frame,https://rdrr.io/r/base/as.data.frame.html
as.factor(),base,base::as.factor(),coerce object to factor,https://rdrr.io/r/base/factor.html
as.numeric(),base,base::as.numeric(),coerce object to numeric,https://rdrr.io/r/base/numeric.html
attr(),base,base::attr(),return or set individual attribute values,https://rdrr.io/r/base/attr.html
attributes(),base,base::attributes(),"return all attributes of vector, matrix, <br> data frame, etc.",https://rdrr.io/r/base/attributes.html
augment(),generics,generics::augment(),augment data with information from an object,https://generics.r-lib.org/reference/augment.html
beamer_presentation(),rmarkdown,rmarkdown::beamer_presentation(),create beamer presentation from R markdown file,https://rdrr.io/cran/rmarkdown/man/beamer_presentation.html
bind_rows(),dplyr,dplyr::bind_rows(),bind rows in dplyr,https://dplyr.tidyverse.org/reference/bind.html
boundary(),stringr,stringr::boundary(),match boundaries within strings,https://stringr.tidyverse.org/reference/modifiers.html
c(),base,base::c(),"create vector of numbers, characters, etc.",https://rdrr.io/r/base/c.html
case_when(),dplyr,dplyr::case_when(),conditionally set values across multiple conditions,https://dplyr.tidyverse.org/reference/case_when.html
ceiling_date(),lubridate,lubridate::ceiling_date(),round data-time up to ceiling,https://lubridate.tidyverse.org/reference/round_date.html
charToRaw(),base,base::charToRaw(),converts a length-one character string to raw bytes,https://rdrr.io/r/base/rawConversion.html
class(),base,base::class(),return object class,https://rdrr.io/r/base/class.html
clean_cache(),knitr,knitr::clean_cache(),clear out code chunk cache,https://rdrr.io/pkg/knitr/man/clean_cache.html
coll(),stringr,stringr::coll(),compare strings respecting standard collation rules,https://stringr.tidyverse.org/reference/modifiers.html
complete(),tidyr,tidyr::complete(),complete a data frame with missing combinations of data,https://tidyr.tidyverse.org/reference/complete.html
contains(),tidyselect,tidyselect::contains(),match column names that contain string,https://tidyselect.r-lib.org/reference/starts_with.html
coord_cartesian(),ggplot2,ggplot2::coord_cartesian(),use Cartesian coordinates,https://ggplot2.tidyverse.org/reference/coord_cartesian.html
coord_fixed(),ggplot2,ggplot2::coord_fixed(),force aspect ratio between data units on axes,https://ggplot2.tidyverse.org/reference/coord_fixed.html
coord_flip(),ggplot2,ggplot2::coord_flip(),switch x and y axes,https://ggplot2.tidyverse.org/reference/coord_flip.html
coord_polar(),ggplot2,ggplot2::coord_polar(),use polar coordinates,https://ggplot2.tidyverse.org/reference/coord_polar.html
coord_quickmap(),ggplot2,ggplot2::coord_quickmap(),set aspect ratio correctly for maps,https://ggplot2.tidyverse.org/reference/coord_map.html
count(),dplyr,dplyr::count(),count unique values of variables,https://dplyr.tidyverse.org/reference/count.html
count(),plyr,plyr::count(),count unique values of variables,https://dplyr.tidyverse.org/reference/count.html
cut_number(),ggplot2,ggplot2::cut_number(),cut data into groups of equal numbers of observations,https://ggplot2.tidyverse.org/reference/cut_interval.html
cut_width(),ggplot2,ggplot2::cut_width(),cut data into groups of a particular width,https://ggplot2.tidyverse.org/reference/cut_interval.html
cut(),base,base::cut(),divide range of vector into intervals,https://rdrr.io/r/base/cut.html
data_grid(),modelr,modelr::data_grid(),generate a data grid,https://modelr.tidyverse.org/reference/data_grid.html
data.frame(),base,base::data.frame(),create data frame,https://rdrr.io/r/base/data.frame.html
desc(),dplyr,dplyr::desc(),order in descending order,https://dplyr.tidyverse.org/reference/desc.html
detect(),purrr,purrr::detect(),return value of first matching element,https://purrr.tidyverse.org/reference/detect.html
dim(),base,base::dim(),"return dimensions of matrix, data frame, etc.",https://rdrr.io/r/base/dim.html
discard(),purrr,purrr::discard(),discard elements using a predicate function,https://purrr.tidyverse.org/reference/keep.html
dmy(),lubridate,lubridate::dmy(),"parse dates as day, month, year",https://lubridate.tidyverse.org/reference/ymd.html
ends_with(),tidyselect,tidyselect::ends_with(),match column names that end with string,https://tidyselect.r-lib.org/reference/starts_with.html
enframe(),tibble,tibble::enframe(),convert vectors to data frame,https://tibble.tidyverse.org/reference/enframe.html
every(),purrr,purrr::every(),determine if all elements meet predicate function conditional,https://purrr.tidyverse.org/reference/every.html
facet_grid(),ggplot2,ggplot2::facet_grid(),create grid of subplots from multiple variables,https://ggplot2.tidyverse.org/reference/facet_grid.html
facet_wrap(),ggplot2,ggplot2::facet_wrap(),create subplots from one variable,https://ggplot2.tidyverse.org/reference/facet_wrap.html
factor(),base,base::factor(),encode vector as factor,https://rdrr.io/r/base/factor.html
fct_collapse(),forcats,forcats::fct_collapse(),collapse factors into manually defined groups,https://forcats.tidyverse.org/reference/fct_collapse.html
fct_infreq(),forcats,forcats::fct_infreq(),reorder factor levels in the order of most to least frequent,https://forcats.tidyverse.org/reference/fct_inorder.html
fct_inorder(),forcats,forcats::fct_inorder(),reorder factor levels in the order that they first appear,https://forcats.tidyverse.org/reference/fct_inorder.html
fct_lump(),forcats,forcats::fct_lump(),lump together factor levels into 'other',https://forcats.tidyverse.org/reference/fct_lump.html
fct_recode(),forcats,forcats::fct_recode(),change factor levels by hand,https://forcats.tidyverse.org/reference/fct_recode.html
fct_relevel(),forcats,forcats::fct_relevel(),reorder factor levels by hand,https://forcats.tidyverse.org/reference/fct_relevel.html
fct_reorder(),forcats,forcats::fct_reorder(),reorder factor levels by sorting along another variable,https://forcats.tidyverse.org/reference/fct_reorder.html
fct_reorder2(),forcats,forcats::fct_reorder2(),reorder factor levels by sorting along another variable with two dimensions,https://forcats.tidyverse.org/reference/fct_reorder.html
fct_rev(),forcats,forcats::fct_rev(),reverse order of factor levels,https://forcats.tidyverse.org/reference/fct_rev.html
file.info(),base,base::file.info(),extract file information,https://rdrr.io/r/base/file.info.html
fill(),tidyr,tidyr::fill(),fill in missing values,https://tidyr.tidyverse.org/reference/fill.html
filter(),dplyr,dplyr::filter(),keep rows based on values of columns,https://dplyr.tidyverse.org/reference/filter.html
fixed(),stringr,stringr::fixed(),compare literal bytes in a string,https://stringr.tidyverse.org/reference/modifiers.html
flatten_dbl(),purrr,purrr::flatten_dbl(),flatten a list into an atomic vector in purrr,https://purrr.tidyverse.org/reference/flatten.html
floor_date(),lubridate,lubridate::floor_date(),round date-time down to floor,https://lubridate.tidyverse.org/reference/round_date.html
force_tz(),lubridate,lubridate::force_tz(),replace time zone to create new date-time,https://lubridate.tidyverse.org/reference/force_tz.html
format(),base,base::format(),format object for pretty printing,https://rdrr.io/r/base/format.html
fread(),data.table,data.table::fread(),read delimited files,https://rdatatable.gitlab.io/data.table/reference/fread.html
full_join(),dplyr,dplyr::full_join(),join two data sets keeping the observations in both,https://dplyr.tidyverse.org/reference/mutate-joins.html
fwf_positions(),readr,readr::fwf_positions(),specify fields by positions,https://readr.tidyverse.org/reference/read_fwf.html
fwf_widths(),readr,readr::fwf_widths(),specify fields by widths,https://readr.tidyverse.org/reference/read_fwf.html
gam(),mgcv,mgcv::gam(),compute generalized additive model,https://rdrr.io/cran/mgcv/man/gam.html
gather_predictions(),modelr,modelr::gather_predictions(),add predictions and pivot longer,https://modelr.tidyverse.org/reference/add_predictions.html
geom_abline(),ggplot2,ggplot2::geom_abline(),"add vertical, horizontal, or diagonal reference lines",https://ggplot2.tidyverse.org/reference/geom_abline.html
geom_bar(),ggplot2,ggplot2::geom_bar(),create bar chart,https://ggplot2.tidyverse.org/reference/geom_bar.html
geom_boxplot(),ggplot2,ggplot2::geom_boxplot(),add layer of boxplots to plot,https://ggplot2.tidyverse.org/reference/geom_boxplot.html
geom_count(),ggplot2,ggplot2::geom_count(),add layer of points sized by count of overlapping points to plot,https://ggplot2.tidyverse.org/reference/geom_count.html
geom_hline(),ggplot2,ggplot2::geom_hline(),plot horizontal reference line,https://ggplot2.tidyverse.org/reference/geom_abline.html
geom_jitter(),ggplot2,ggplot2::geom_jitter(),add layer of jittered points to plot,https://ggplot2.tidyverse.org/reference/geom_jitter.html
geom_label(),ggplot2,ggplot2::geom_label(),adds text in rectangle to plot,https://ggplot2.tidyverse.org/reference/geom_text.html
geom_line(),ggplot2,ggplot2::geom_line(),add layer of data lines to plot,https://ggplot2.tidyverse.org/reference/geom_path.html
geom_point(),ggplot2,ggplot2::geom_point(),add layer of points to plot,https://ggplot2.tidyverse.org/reference/geom_point.html
geom_polygon(),ggplot2,ggplot2::geom_polygon(),add layer of polygons to plot,https://ggplot2.tidyverse.org/reference/geom_polygon.html
geom_rect(),ggplot2,ggplot2::geom_rect(),plot rectangle,https://ggplot2.tidyverse.org/reference/geom_tile.html
geom_ref_line(),modelr,modelr::geom_ref_line(),add reference line to plot,https://modelr.tidyverse.org/reference/geom_ref_line.html
geom_segment(),ggplot2,ggplot2::geom_segment(),plot line segment,https://ggplot2.tidyverse.org/reference/geom_segment.html
geom_smooth(),ggplot2,ggplot2::geom_smooth(),create smoothed lines to plot,https://ggplot2.tidyverse.org/reference/geom_smooth.html
geom_text(),ggplot2,ggplot2::geom_text(),adds text to plot,https://ggplot2.tidyverse.org/reference/geom_text.html
geom_vline(),ggplot2,ggplot2::geom_vline(),plot vertical reference line,https://ggplot2.tidyverse.org/reference/geom_abline.html
getS3method(),utils,utils::getS3method(),return a method for S3 generic function,https://rdrr.io/r/utils/getS3method.html
getwd(),base,base::getwd(),return working directory,https://rdrr.io/r/base/getwd.html
ggplot(),ggplot2,ggplot2::ggplot(),create a plotting area,https://ggplot2.tidyverse.org/reference/ggplot.html
ggsave(),ggplot2,ggplot2::ggsave(),save a ggplot,https://ggplot2.tidyverse.org/reference/ggsave.html
glance(),generics,generics::glance(),glance at an object,https://generics.r-lib.org/reference/glance.html
glm(),stats,stats::glm(),compute generalized linear model,https://rdrr.io/r/stats/glm.html
glmnet(),glmnet,glmnet::glmnet(),compute generalized linear model via penalized maximum likelihood,https://glmnet.stanford.edu/articles/glmnet.html
group_by(),dplyr,dplyr::group_by(),group data by levels of column,https://dplyr.tidyverse.org/reference/group_by.html
guess_encoding(),readr,readr::guess_encoding(),guess encoding of file,https://readr.tidyverse.org/reference/encoding.html
guess_parser(),readr,readr::guess_parser(),return the name of the parser,https://readr.tidyverse.org/reference/parse_guess.html
guide_colourbar(),ggplot2,ggplot2::guide_colourbar(),control legend color bar,https://ggplot2.tidyverse.org/reference/guide_colourbar.html
guide_legend(),ggplot2,ggplot2::guide_legend(),control legend formatting,https://ggplot2.tidyverse.org/reference/guide_legend.html
guides(),ggplot2,ggplot2::guides(),set guides for scale,https://ggplot2.tidyverse.org/reference/guides.html
head_while(),purrr,purrr::head_while(),find first elements that satisfy predicate,https://purrr.tidyverse.org/reference/head_while.html
head(),utils,utils::head(),"return first rows of matrix, data frame, etc.",https://rdrr.io/r/utils/head.html
hour(),lubridate,lubridate::hour(),return or set hour component of a date-time,https://lubridate.tidyverse.org/reference/hour.html
html_document(),rmarkdown,rmarkdown::html_document(),create HTML document from R markdown file,https://rdrr.io/pkg/rmarkdown/man/html_document.html
I(),base,base::I(),inhibit interpretation/conversion of objects,https://rdrr.io/r/base/AsIs.html
ifelse(),base,base::ifelse(),conditionally set values,https://rdrr.io/r/base/ifelse.html
inner_join(),dplyr,dplyr::inner_join(),join two data sets keeping the observations that they have in common,https://dplyr.tidyverse.org/reference/mutate-joins.html
install.packages(),utils,utils::install.packages(),install R packages,https://rdrr.io/r/utils/install.packages.html
intersect(),base,base::intersect(),return only observations in both x and y,https://rdrr.io/r/base/sets.html
invisible(),base,base::invisible(),return invisible copy of object,https://rdrr.io/r/base/invisible.html
ioslides_presentation(),rmarkdown,rmarkdown::ioslides_presentation(),create ioslides presentation from R markdown file,https://rdrr.io/cran/rmarkdown/man/ioslides_presentation.html
is.finite(),base,base::is.finite(),determines if numeric is finite,https://rdrr.io/r/base/is.finite.html
is.vector(),base,base::is.vector(),check if object is vector,https://rdrr.io/r/base/vector.html
kable(),knitr,knitr::kable(),create knitr table,https://rdrr.io/pkg/knitr/man/kable.html
keep(),purrr,purrr::keep(),keep elements using a predicate function,https://purrr.tidyverse.org/reference/keep.html
labs(),ggplot2,ggplot2::labs(),"modify axis, legend, and plot labels",https://ggplot2.tidyverse.org/reference/labs.html
lapply(),base,base::lapply(),apply a function to multiple elements of an object and return a list,https://rdrr.io/r/base/lapply.html
left_join(),dplyr,dplyr::left_join(),join two data sets keeping the observations in the left one,https://dplyr.tidyverse.org/reference/mutate-joins.html
length(),base,base::length(),return number of elements in a vector,https://rdrr.io/r/base/length.html
lengths(),base,base::lengths(),return length of each element of a list or vector,https://rdrr.io/r/base/lengths.html
levels(),base,base::levels(),view and change factor levels,https://rdrr.io/r/base/levels.html
library(),base,base::library(),load R packages,https://rdrr.io/r/base/library.html
list(),base,base::list(),create recursive vector (list),https://rdrr.io/r/base/list.html
loess(),stats,stats::loess(),apply local polynomial regression fitting,https://rdrr.io/r/stats/loess.html
make_datetime(),lubridate,lubridate::make_datetime(),create date-times from numeric representations,https://lubridate.tidyverse.org/reference/make_datetime.html
map_chr(),purrr,purrr::map_chr(),"apply a function to multiple elements of an object in purrr, return a character vector",https://purrr.tidyverse.org/reference/map.html
map_dbl(),purrr,purrr::map_dbl(),"apply a function to multiple elements of an object in purrr, return a double vector",https://purrr.tidyverse.org/reference/map.html
map_int(),purrr,purrr::map_int(),"apply a function to multiple elements of an object in purrr, return a integer vector",https://purrr.tidyverse.org/reference/map.html
map_lgl(),purrr,purrr::map_lgl(),"apply a function to multiple elements of an object in purrr, return a logical vector",https://purrr.tidyverse.org/reference/map.html
map(),purrr,purrr::map(),"apply a function to multiple elements of an object in purrr, return a list",https://purrr.tidyverse.org/reference/map.html
map2(),purrr,purrr::map2(),apply a function to multiple elements over two vectors in parallel,https://purrr.tidyverse.org/reference/map2.html
matrix(),base,base::matrix(),"create matrix of numbers, characters, etc.",https://rdrr.io/r/base/matrix.html
mdy_hm(),lubridate,lubridate::mdy_hm(),"parse month, day, year and hour, minute",https://lubridate.tidyverse.org/reference/ymd_hms.html
mdy(),lubridate,lubridate::mdy(),"parse dates as month, day, year",https://lubridate.tidyverse.org/reference/ymd.html
mean(),base,base::mean(),calculate mean of elements of vector,https://rdrr.io/r/base/mean.html
merge(),base,base::merge(),join two data sets,https://rdrr.io/r/base/merge.html
methods(),utils,utils::methods(),return all available methods for function,https://rdrr.io/r/utils/methods.html
minute(),lubridate,lubridate::minute(),return or set minute component of a date-time,https://lubridate.tidyverse.org/reference/minute.html
